outcome	auroc	auprc	n_pos_windows	n_neg_windows
DISGLYCEMIA_EVENT_Hyperglycemia	0.546754547752095	0.3889883304323763	15504	47314
DISGLYCEMIA_EVENT_Hypoglycemia	0.539406683952116	0.15976602570731777	2772	60046
KIDNEY_COMPLICATION_EVENT	0.5063088813150177	0.2856557741723931	12090	50728
DEATH_EVENT	0.4793197204013263	0.0712748614919168	1795	61023
RELEASE_EVENT	0.460302060471132	0.2578858819970806	14894	47924
CARDIO-VASCULAR_DISORDER_EVENT	0.4494867765642649	0.14372250641198295	6339	56479
NEUROVASCULAR_COMPLICATION_EVENT	0.413628527646533	0.00270623069820752	170	62648
KETOACIDOSIS_EVENT	0.413587147465585	0.0031838008214206117	200	62618
RETINOPATHY_EVENT	0.41347107173697506	0.0045209971664172685	284	62534
HYPEROSMOLALITY_EVENT	0.4132616257634291	0.006924766786589831	435	62383
INFECTION_EVENT	0.4122374503284405	0.018513801776560857	1163	61655
ACIDOSIS_EVENT	0.4122175175613634	0.018736667834060302	1177	61641
ACUTE_RESPIRATORY_DISORDER_EVENT	0.41160807631991636	0.0255022445795791	1602	61216
