outcome	auroc	auprc	n_pos_windows	n_neg_windows
DISGLYCEMIA_EVENT_Hypoglycemia	0.5418880030969216	0.15600285576656447	2776	60095
DISGLYCEMIA_EVENT_Hyperglycemia	0.535650601248461	0.3842745392892292	15523	47348
KIDNEY_COMPLICATION_EVENT	0.5024082124937592	0.2833492284965927	12093	50778
NEUROVASCULAR_COMPLICATION_EVENT	0.4992264876158275	0.002703949356619109	170	62701
HYPEROSMOLALITY_EVENT	0.49920718816067655	0.006918929236054779	435	62436
RETINOPATHY_EVENT	0.49919312317254383	0.004517185983998982	284	62587
ACUTE_RESPIRATORY_DISORDER_EVENT	0.4991676051510552	0.025480746290022428	1602	61269
ACIDOSIS_EVENT	0.4991166077738516	0.018720872898474655	1177	61694
KETOACIDOSIS_EVENT	0.4990904884236728	0.003181116890140128	200	62671
INFECTION_EVENT	0.49906008945355546	0.018498194716164845	1163	61708
DEATH_EVENT	0.4782985068704236	0.07256162125350003	1794	61077
RELEASE_EVENT	0.4763067616670165	0.26059437046093104	14894	47977
CARDIO-VASCULAR_DISORDER_EVENT	0.43603459836164166	0.13371303736762674	6342	56529
