outcome	auroc	auprc	n_pos_windows	n_neg_windows
DISGLYCEMIA_EVENT_Hypoglycemia	0.5428793968867257	0.16004672108054643	2776	60095
DISGLYCEMIA_EVENT_Hyperglycemia	0.5362462857712557	0.387625444046755	15523	47348
KIDNEY_COMPLICATION_EVENT	0.5033437449171159	0.2842944357127899	12093	50778
RETINOPATHY_EVENT	0.49886557911387347	0.004517185983998982	284	62587
NEUROVASCULAR_COMPLICATION_EVENT	0.4988516929554553	0.002703949356619109	170	62701
ACUTE_RESPIRATORY_DISORDER_EVENT	0.4988411757985278	0.025480746290022428	1602	61269
HYPEROSMOLALITY_EVENT	0.498838810942405	0.006918929236054779	435	62436
ACIDOSIS_EVENT	0.4988167406879113	0.018720872898474655	1177	61694
KETOACIDOSIS_EVENT	0.4987793397265083	0.003181116890140128	200	62671
INFECTION_EVENT	0.49875218772282365	0.018498194716164845	1163	61708
RELEASE_EVENT	0.48200353833212783	0.2638156212568054	14894	47977
DEATH_EVENT	0.4749441641815915	0.07382513365758857	1794	61077
CARDIO-VASCULAR_DISORDER_EVENT	0.4297550542664842	0.13356734791728503	6342	56529
