outcome	auroc	auprc	n_pos_windows	n_neg_windows
DEATH_EVENT	0.7636981857559447	0.16982692925574225	1794	61077
RELEASE_EVENT	0.6949585632852101	0.3860338551196344	14894	47977
DISGLYCEMIA_EVENT_Hyperglycemia	0.6547568751671433	0.5148952502428317	15523	47348
DISGLYCEMIA_EVENT_Hypoglycemia	0.6527415345971185	0.20285674775280982	2776	60095
KIDNEY_COMPLICATION_EVENT	0.575795545646139	0.3844235242165144	12093	50778
KETOACIDOSIS_EVENT	0.49938568077739304	0.003181116890140128	200	62671
NEUROVASCULAR_COMPLICATION_EVENT	0.4993700259963956	0.002703949356619109	170	62701
INFECTION_EVENT	0.4993355804757892	0.018498194716164845	1163	61708
HYPEROSMOLALITY_EVENT	0.49933531936703185	0.006918929236054779	435	62436
ACUTE_RESPIRATORY_DISORDER_EVENT	0.49930633762587934	0.025480746290022428	1602	61269
RETINOPATHY_EVENT	0.499288989726301	0.004517185983998982	284	62587
ACIDOSIS_EVENT	0.49923817551139493	0.018720872898474655	1177	61694
CARDIO-VASCULAR_DISORDER_EVENT	0.203196947792232	0.13196891747139294	6342	56529
